cd_cnpj;vl_latitude;vl_longitude;vl_latitude_orig;vl_longitude_orig;vl_total_veiculos_antt;vl_total_veiculos_leves;vl_total_veiculos_pesados;vlr_total_veiculos;fl_optante_simples;qt_filial;fl_optante_simei;de_saude_tributaria;de_nivel_atividade
3739115000190;-19.7000726;-43.9135854;-19,7000726;-43,9135854;;;;;0;;0;LARANJA;ALTA
10746875000190;-23.5792608;-48.0303774;-23,5792608;-48,0303774;;;;;1;;0;AZUL;MEDIA
13882569000170;-15.801519;-47.860297;-15,801519;-47,860297;;;;;1;;1;AMARELO;MEDIA
13813622000180;0.0463973;-51.1299174;0,0463973;-51,1299174;;;;;1;;0;AMARELO;ALTA
13917585000150;-23.5419305;-46.8863174;-23,5419305;-46,8863174;;;;;1;;0;AZUL;ALTA
1009319000140;-3.4923899;-39.5773897;-3,4923899;-39,5773897;;;;;0;;0;LARANJA;MEDIA
7490676000150;-23.7611356;-52.4369764;-23,7611356;-52,4369764;;0;1;1;0;1;0;LARANJA;BAIXA
15827507000190;-15.0808258;-50.6329597;-15,0808258;-50,6329597;;;;;0;;0;AMARELO;MEDIA
3454167000110;-22.4950977;-54.1541992;-22,4950977;-54,1541992;;;;;0;;0;AMARELO;MEDIA
2971707000170;-15.6142322;-56.0689399;-15,6142322;-56,0689399;;;;;0;;0;AZUL;ALTA
1887198000130;-19.8789176;-44.5747193;-19,8789176;-44,5747193;;;;;0;;0;VERDE;ALTA
13384992000140;-23.6526104;-46.7568372;-23,6526104;-46,7568372;;;;;0;;0;AZUL;MEDIA
73363178000170;-25.4828581;-49.3459416;-25,4828581;-49,3459416;;;;;0;;0;LARANJA;BAIXA
78552296000140;-25.8116622;-48.5362308;-25,8116622;-48,5362308;;;;;0;;0;AMARELO;MEDIA
16038290000100;-11.0052944;-44.5140663;-11,0052944;-44,5140663;;;;;0;;0;;INATIVA
16047744000100;-17.843356;-41.4961938;-17,843356;-41,4961938;;;;;0;;0;;INATIVA
1912375000190;-23.4941832;-50.6462785;-23,4941832;-50,6462785;;;;;1;;0;AZUL;ALTA
16096119000140;-22.4165961;-49.1372408;-22,4165961;-49,1372408;;;;;1;;0;AZUL;MEDIA
15162694000130;-20.7895398;-49.3599371;-20,7895398;-49,3599371;;;;;0;;0;VERDE;MEDIA
13984797000150;-8.0607199;-34.8838754;-8,0607199;-34,8838754;;;;;1;;1;AMARELO;MEDIA
15541661000100;-23.7799783;-53.0847627;-23,7799783;-53,0847627;;1;0;1;1;;0;VERDE;ALTA
14848787000150;-2.5348538;-44.2028489;-2,5348538;-44,2028489;;0;1;1;0;;0;AMARELO;INATIVA
14850418000100;-16.7107123;-43.8171282;-16,7107123;-43,8171282;;;;;1;;1;VERDE;MEDIA
